CHROM	START	END	BRCA_METH	BRCA_DEPTH	CEAD_METH	CEAD_DEPTH	CESC_METH	CESC_DEPTH	COAD_METH	COAD_DEPTH	OV_METH	OV_DEPTH	READ_METH	READ_DEPTH	B cell_METH	B cell_DEPTH	CD4+ T-cell_METH	CD4+ T-cell_DEPTH	CD8+ T-cell_METH	CD8+ T-cell_DEPTH	Erythroblast_METH	Erythroblast_DEPTH	Monocyte_METH	Monocyte_DEPTH	Natural killer cell_METH	Natural killer cell_DEPTH	Neutrophil_METH	Neutrophil_DEPTH
chr6	99588568	99589486	163	4172	24	175	2	123	1230	1653	29	391	129	1382	115	5738	175	17899	103	7250	26	7829	20	8434	131	8052	72	29088
chr13	34941878	34942965	13	3341	52	277	134	202	787	2170	33	596	146	1617	28	3773	100	24888	22	7499	19	11930	13	9783	18	8436	17	31115
chr11	100851026	100851465	643	829	38	59	39	322	232	278	91	106	158	196	807	888	691	721	555	586	305	321	623	684	516	548	2145	2329
chr14	75303289	75303943	786	2430	57	115	32	81	357	902	72	194	140	518	1003	2432	1669	2857	1057	2341	771	1730	828	2125	1055	2415	3073	8455
chr13	113999093	113999725	1636	2090	94	120	55	76	539	703	122	184	183	448	1132	1289	2853	3016	966	1009	1018	1116	1872	1941	1167	1246	5663	6042
chr1	227776155	227776568	737	855	31	39	41	46	248	270	65	84	151	168	600	631	1449	1492	550	654	639	725	698	738	236	715	2709	2938
chr2	91442239	91442793	4419	11528	387	666	272	347	2570	3910	165	665	1692	2828	785	5544	2647	33695	793	10250	1018	14849	696	13320	958	11824	2619	40383
chr6	118555753	118556513	883	1025	76	93	126	140	280	340	129	140	122	279	915	945	358	368	187	208	169	178	412	438	178	183	992	1073
chr15	48580478	48580881	665	784	37	48	49	52	183	227	62	84	130	176	535	589	899	940	464	501	15	229	478	536	465	517	1768	2004
chr9	19020118	19020500	488	572	30	30	10	32	103	163	50	59	102	118	531	567	596	619	313	328	197	235	400	417	315	325	1167	1255
chr19	38819892	38820357	3125	3333	152	165	179	179	581	1429	240	261	171	1439	2718	2787	4323	4465	2061	2119	2386	2491	2688	2773	2944	3051	8525	8877
chr22	19127408	19127982	912	1076	60	66	26	33	371	470	99	104	117	266	1131	1194	3823	3966	1233	1287	1892	2167	1871	1964	1387	1464	5445	5708
chr20	22584807	22585385	1477	3610	20	147	34	59	57	1409	35	257	10	1027	561	3354	1152	11289	535	4599	120	4878	361	6063	425	4952	1159	17867
chr1	3701237	3701762	2000	2359	105	108	114	117	962	1134	177	208	264	419	1645	1740	6828	7189	2349	2495	2365	2780	2907	3078	2614	2779	9780	10348
chr7	6365631	6366096	1991	2405	84	92	52	58	529	731	41	60	82	430	976	1119	3183	3335	1564	1675	1406	1565	1454	1506	1663	1781	5680	5997
chr21	15043921	15044513	1593	1770	89	103	98	111	409	465	154	174	271	296	1194	1335	729	764	505	532	161	305	663	786	504	552	1963	2398
chr11	60733213	60733561	475	665	32	42	13	37	237	272	69	83	187	223	644	695	1415	1484	749	799	646	712	848	887	757	843	2928	3088
chr17	7369180	7369895	810	1016	64	85	28	51	264	376	93	110	61	218	875	1009	1473	1572	610	653	534	692	921	970	638	726	2948	3188
chr5	665663	666004	384	485	33	43	9	20	187	310	58	71	116	155	135	144	1821	1895	447	466	735	781	643	685	418	449	1611	1751
chr8	69832620	69833087	573	2472	52	147	30	61	577	1497	31	262	55	741	143	2430	1414	15026	436	4874	249	6116	390	5878	420	5352	678	19043
chr1	31657914	31658361	1180	1393	65	73	43	43	702	851	75	101	286	333	1030	1246	3617	4181	1566	1780	1071	1686	965	1968	1611	2000	923	7386
chr16	66730027	66730409	1052	1161	46	46	55	55	265	329	81	90	99	293	633	642	1131	1164	788	804	555	582	782	804	777	802	1573	2136
chr18	79788999	79789695	2733	3110	115	130	72	107	2496	2683	241	282	554	622	3051	3216	17109	17784	3577	3794	7781	8322	4602	5021	3691	3930	14726	16210
chr7	157007589	157008008	249	1521	22	73	41	64	105	437	36	136	16	405	211	1230	336	1663	225	1474	89	714	142	1280	203	1534	537	5100
chr1	27338455	27338831	657	740	33	33	13	27	255	298	53	61	164	221	841	866	860	887	572	591	427	463	813	844	687	715	2389	2485
chr16	49898057	49899159	924	1354	52	71	5	37	413	529	117	141	366	447	1241	1532	2826	2982	1140	1257	1239	1623	1606	1734	1272	1441	4888	5408
chr17	79138177	79138861	1950	2480	92	93	51	69	1417	1607	174	199	422	475	1777	1862	9654	10413	1993	2092	4628	5148	2195	2306	2439	2632	8339	9009
chr6	161260512	161261528	1335	1986	109	128	49	91	577	733	140	193	297	460	1840	2037	4550	4753	1554	1656	2179	2373	1805	1917	1629	1751	6616	7139
chr14	103026792	103027469	1207	1750	102	121	100	115	317	397	169	182	83	236	1114	1161	982	1008	532	562	429	459	683	701	740	771	2779	2878
chr19	1763696	1763953	396	2039	41	126	42	54	288	831	20	162	148	520	220	1487	426	3112	232	1464	169	1642	148	1780	229	1800	394	6518
